	cluster1	cluster2	cluster3
Nervous_system_development	1	7.24e-11	1
Neural_precursor_cell_proliferation	1	0.0024	1
Neural_tube_patterning	1	0.002	1
Neurogenesis	1	1.27e-06	1
Neuron_development	1	2.19e-05	1
Neuron_differentiation	1	4.86e-07	1
Neuron_projection_development	1	0.0033	1
Neuron_projection_morphogenesis	1	0.0007	1
Pattern_specification_process	1	1.04e-06	1
Plasma_membrane_bounded_cell_projection_organization	1	3.32e-06	0.0037
Positive_regulation_of_MAPK_cascade	1	1	0.0034
Positive_regulation_of_RNA_metabolic_process	1	0.0049	1
Positive_regulation_of_angiogenesis	1	1	0.0054
Positive_regulation_of_biological_process	1	1	0.00015
Positive_regulation_of_cell_differentiation	1	5.45e-05	1
Positive_regulation_of_cell_migration	1	1	0.00013
Positive_regulation_of_cell_motility	1	1	3.18e-05
Positive_regulation_of_cellular_process	1	1	0.0011
Positive_regulation_of_developmental_process	1	0.00042	1.27e-05
Positive_regulation_of_intracellular_signal_transduction	1	1	0.0018
Positive_regulation_of_multicellular_organismal_process	1	1	4.15e-05
Positive_regulation_of_nucleobase-containing_compound_metabolic_process	1	0.0071	1
Positive_regulation_of_phosphate_metabolic_process	1	1	0.0055
Positive_regulation_of_phosphorylation	1	1	0.0093
Positive_regulation_of_protein_phosphorylation	1	1	0.0094
Positive_regulation_of_transcription_by_RNA_polymerase_II	1	0.0052	1
Potassium_ion_transport	1	0.0075	1
Regionalization	1	1.94e-06	1
Regulation_of_MAPK_cascade	1	1	0.0094
Regulation_of_anatomical_structure_morphogenesis	1	0.0075	0.00025
Regulation_of_angiogenesis	1	1	0.0021
Regulation_of_animal_organ_formation	1	0.0077	1
Regulation_of_biological_process	1	0.0004	1
Regulation_of_biological_quality	1	6.01e-05	0.0044
Regulation_of_cell_communication	1	0.0086	0.00014
Regulation_of_cell_differentiation	1	9.02e-05	0.0028
Regulation_of_cell_migration	1	1	0.00063
Regulation_of_cell_motility	1	1	0.00011
Regulation_of_cell_population_proliferation	1	1	0.0044
Regulation_of_cellular_process	1	0.00016	1
Regulation_of_developmental_process	1	7.35e-06	7.78e-06
Regulation_of_epithelial_to_mesenchymal_transition	1	0.0086	1
Regulation_of_hormone_levels	1	0.0003	1
Regulation_of_locomotion	1	1	9.58e-05
Regulation_of_multicellular_organismal_development	1	0.0075	6.5e-05
Regulation_of_multicellular_organismal_process	1	0.0059	1.54e-05
Regulation_of_muscle_tissue_development	1	0.0088	1
Regulation_of_neuron_differentiation	1	0.0034	1
Regulation_of_neuronal_synaptic_plasticity	1	0.0036	1
Regulation_of_neurotransmitter_levels	1	0.0028	1
Regulation_of_response_to_stimulus	1	1	6.5e-05
Regulation_of_signal_transduction	1	1	0.00024
Regulation_of_signaling	1	1	0.00017
Renal_tubule_morphogenesis	1	0.0097	1
Reproductive_process	1	1.84e-06	1
Reproductive_structure_development	1	1.75e-06	1
Response_to_chemical	1	0.0095	0.0013
Response_to_organic_substance	1	1	0.00032
Response_to_stimulus	1	0.0034	5.02e-06
Sensory_organ_development	1	0.0029	1
Sensory_organ_morphogenesis	1	0.0051	1
Sex_differentiation	1	0.0059	1
Signal_transduction	1	1	9.19e-05
Signaling	1	0.00051	4.41e-05
Synaptic_signaling	1	0.0033	1
System_development	1	3.62e-16	6.65e-06
Telencephalon_development	1	0.0034	1
Tissue_development	1	3.33e-10	0.00011
Tissue_morphogenesis	1	9.89e-06	1
Transmembrane_receptor_protein_tyrosine_kinase_signaling_pathway	1	1	0.0054
Tube_development	1	0.00015	2.95e-05
Tube_morphogenesis	1	0.003	3.18e-05
Urogenital_system_development	1	0.0045	1
Vasculature_development	1	1	3.49e-06
