GENE,cluster1,cluster2,cluster3,cluster4,cluster5
EXOC6,0.0,0.0,0.9999992414170773,7.585829230922851e-07,0.0
CDKN2C,0.0,0.0,0.9999999399416506,6.005835070869244e-08,0.0
MT1F,1.0,0.0,1.4263150191360184e-53,1.1595814384515722e-47,0.0
ANP32B,0.0,0.0,0.9999999999996891,3.1149984400006895e-13,0.0
IGSF9B,0.0,0.0,1.443456351776156e-11,0.9999999999855653,0.0
ETS1,0.0,0.0,2.6504227682924657e-06,0.9999973495772304,0.0
HES4,0.0,0.0,4.7391557769589434e-05,0.9999526084422311,0.0
PDIA6,0.0,0.0,0.9998981778153719,0.00010182218462938912,0.0
MTMR9,0.0,0.0,0.03905555457189866,0.9609444454281016,0.0
TCEA2,0.0,0.0,0.00569257624369705,0.9943074237563034,0.0
CACNA2D4,0.0,0.0,0.9839943245330426,0.01600567546695857,0.0
MT2A,0.9999999999986198,0.0,1.3803104514431691e-12,1.1042949227064551e-44,0.0
MTHFSD,0.0,0.0,7.146789190324975e-21,1.0,0.0
RIPK3,0.9999996105422143,0.0,3.86134521013959e-07,3.323264523109702e-09,0.0
TSHZ2,0.0,0.0,0.9988634191415194,0.0011365808584818324,0.0
CELF2,0.0,0.0,0.9874911972570195,0.012508802742981178,0.0
WNT7A,0.0,0.0,8.18151817435515e-20,1.0,0.0
SPOCK2,0.0,0.0,0.9802639452780535,0.01973605472194562,0.0
RUNX3,0.0,0.0,2.4350729097293826e-10,0.9999999997564935,0.0
ZNHIT3,0.0,0.0,0.9999998093039975,1.9069600271366015e-07,0.0
CAMTA1,0.0,0.0,0.9999998491664825,1.5083351737388813e-07,0.0
SLFN13,0.0,0.0,4.249191945128705e-23,1.0,0.0
NFATC1,0.0,0.0,0.9860679051655099,0.0139320948344895,0.0
CLYBL,0.0,0.0,0.999999167178141,8.328218584757134e-07,0.0
NFIC,0.0,0.0,0.9999999999963372,3.664027439853436e-12,0.0
HLA-C,0.0,0.0,0.9813609251633992,0.018639074836599406,0.0
ITGB2,0.0,0.0,0.38005281880574443,0.619947181194257,0.0
RORA,0.0,0.0,0.9994406028130612,0.000559397186937375,0.0
PRKAG2,0.0,0.0,0.9999998937884577,1.0621154150776037e-07,0.0
NEURL1,0.0,0.0,0.8080175587369643,0.19198244126303612,0.0
SATB1,0.0,0.0,0.9980712331657268,0.0019287668342741694,0.0
HOXB-AS1,0.0,1.0,0.0,0.0,0.0
ENTPD1-AS1,0.0,0.0,1.053601574275235e-07,0.9999998946398441,0.0
CEACAM21,0.0,0.0,1.2423311103636497e-09,0.9999999987576693,0.0
COL18A1,0.0,0.0,0.975339773174712,0.02466022682528716,0.0
FAF1,0.0,0.0,0.9999999999867732,1.3227201198560984e-11,0.0
CCND2,0.0,0.0,1.0102422192166806e-06,0.9999989897577799,0.0
RPS4X,0.0,0.0,0.9575343259032919,0.04246567409670877,0.0
TAP1,0.0,0.0,0.9999998368042382,1.6319576022541956e-07,0.0
HOXB2,0.0,1.0,0.0,0.0,0.0
NOG,0.0,0.0,0.0005850337666580141,0.9994149662333408,0.0
CYTH4,0.0,0.0,1.0852197632113864e-32,1.0,0.0
ARHGEF7,0.0,0.0,0.9999996470360363,3.529639641192333e-07,0.0
BTBD11,0.0,0.0,1.0803937283869576e-17,1.0,0.0
FMNL1,0.0,0.0,0.9997559813374293,0.00024401866257122608,0.0
HS3ST3B1,0.0,0.0,2.99514609395703e-11,0.9999999999700471,0.0
TCEA3,0.9999664196323719,0.0,3.358036762888648e-05,6.929195118833994e-24,0.0
ARF1,0.0,0.0,0.9999999999999325,6.734824896551792e-14,0.0
RPL38,0.0,0.0,0.767818383034534,0.2321816169654668,0.0
AGAP2,0.0,0.0,1.2170222129164088e-12,0.9999999999987814,0.0
FBRS,0.0,0.0,0.999999999999293,7.074405800043281e-13,0.0
HEMGN,0.0,0.0,0.9998840116249621,0.00011598837503805624,0.0
MT1X,1.0,0.0,2.8226504808613127e-36,2.588947602930312e-55,0.0
RBM19,0.0,0.0,0.9996953437385203,0.00030465626147818626,0.0
MAST4,0.0,0.0,0.00037665187713772615,0.9996233481228636,0.0
APOBEC3A,0.0,0.0,0.58218210237225,0.41781789762774846,0.0
C9orf142,0.0,0.0,0.9931928401099087,0.006807159890091235,0.0
KRT2,0.0,0.0,1.7512331209453017e-30,1.0,0.0
PMEPA1,0.0,0.0,0.9783105586105335,0.021689441389466848,0.0
SARDH,0.0,0.0,0.0009859762596029658,0.9990140237403965,0.0
PTK2,0.0,0.0,0.988994003804291,0.01100599619570971,0.0
IKZF3,0.0,0.0,0.8917217629880544,0.10827823701194698,0.0
DLGAP4,0.0,0.0,7.814825901956212e-13,0.9999999999992184,0.0
EDAR,0.0,0.0,1.3084314631647713e-05,0.9999869156853669,0.0
SCML4,0.0,0.0,0.9999975274186175,2.472581381948362e-06,0.0
RING1,0.0,0.0,0.9999989897943924,1.010205607449558e-06,0.0
ARHGAP9,0.0,0.0,0.0006842559524074094,0.9993157440475934,0.0
USP3,0.0,0.0,0.9999999998214104,1.7859055079823994e-10,0.0
IDUA,0.0,0.0,0.9999996073717365,3.9262826299462556e-07,0.0
