GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8
C4orf48,3.124972042103767e-06,0.0,0.0,2.730286514021381e-242,0.0,0.0,0.9999968750279584,8.081463704828416e-26
NFATC1,0.8598640426672467,0.0,0.0,9.009144748071803e-57,0.0,0.0,0.14013595733275366,1.5421970366612239e-18
RUNX3,0.00014202386853615713,0.0,0.0,9.464519239179794e-145,0.0,0.0,0.9998579761314645,2.179535778086434e-171
IRF4,2.6052852715621973e-06,0.0,0.0,0.0,0.0,0.0,0.9999973947147298,4.298688486350642e-173
SKAP1,8.544923511045763e-24,0.0,0.0,2.2812803997992506e-136,0.0,0.0,1.0,0.0
EXOC6,1.0200717303257089e-05,0.0,0.0,0.003163920076612951,0.0,0.0,5.093784014062546e-19,0.9968258792060836
MAFB,2.2136681654801605e-11,0.0,0.0,8.081258141020486e-104,0.0,0.0,0.999999999977863,1.3574089780110658e-113
CCND2,0.9999970537929479,0.0,0.0,0.0,0.0,0.0,2.9462070527722882e-06,8.839302359486147e-45
PDGFB,8.47762290578747e-21,0.0,0.0,9.742908893802625e-82,0.0,0.0,1.0,7.893456854699595e-97
RORA,0.00042060024634881963,0.0,0.0,1.1876163233934935e-50,0.0,0.0,2.456690710969037e-09,0.9995793972969614
MMP9,1.2610862659358156e-58,0.0,0.0,0.0,0.0,1.0,9.985885319758646e-41,0.0
BMI1,4.978945165999607e-08,0.0,0.0,0.9999999496399882,0.0,0.0,5.920192197049457e-15,5.705539543071006e-10
TAP1,5.173943698001431e-06,0.0,0.0,0.9999948259296871,0.0,0.0,1.233849214607812e-10,3.2294133330315275e-12
ETS1,3.917271304496059e-07,0.0,0.0,1.642836037530337e-29,0.0,0.0,0.9999996082728678,5.51739553352124e-50
NSG1,7.113311883052784e-07,0.0,0.0,1.0978995889634255e-117,0.0,0.0,0.9999992886688113,1.2785024706496908e-136
TNFSF8,2.1877473139218457e-07,0.0,0.0,0.9999997812252692,0.0,0.0,2.3563310657041258e-49,1.7042249882439378e-36
ZNHIT3,0.00019726907796582824,0.0,0.0,9.244327729344317e-18,0.0,0.0,1.0108694876155916e-05,0.9997926222271587
GRAP2,2.492038514323782e-25,0.0,1.0,0.0,0.0,0.0,1.8695194045591083e-73,5.799694311603872e-55
CD40,9.592804790698499e-05,0.0,0.0,0.0,0.0,0.0,0.9999040719520949,7.988870817288221e-161
FBRS,1.011036704327142e-10,0.0,0.0,0.9999999998988969,0.0,0.0,1.7836423805594562e-27,8.587635766849422e-30
SMUG1,2.3081199832369906e-09,0.0,0.0,0.0,0.0,0.0,0.9999999976918801,2.3301108917650753e-268
MT1F,3.317860022496398e-84,0.0,0.0,2.8182902691112704e-247,1.0,0.0,3.9595313390877383e-48,4.794763341137375e-122
IRF8,9.249273033206432e-22,0.0,1.0,0.0,0.0,0.0,2.8601998729667343e-24,2.8315578151363036e-87
SATB1,0.004303895924256395,0.0,0.0,1.2613253508252687e-190,0.0,0.0,1.8524834349384892e-14,0.9956961040757258
COMMD3,4.1437569690911706e-09,0.0,0.0,0.9999999958562427,0.0,0.0,8.14285709498977e-18,1.1811672388435947e-15
LMNA,0.00031690178600328386,0.0,0.0,4.847477995984672e-27,0.0,0.0,4.079446475834149e-05,0.9996423037492383
PRKAG2,3.493784637595204e-07,0.0,0.0,2.6880957944617835e-10,0.0,0.0,4.844507681613165e-17,0.9999996503527261
TNFRSF12A,0.9999999952971024,0.0,0.0,1.7535905112010365e-211,0.0,0.0,4.702896485226391e-09,7.837112865062611e-19
TCEA2,0.9998013437435322,0.0,0.0,8.612894323709653e-61,0.0,0.0,0.00019865625646788747,3.0712799582036706e-82
MAL,0.9905589328431099,0.0,0.0,9.451191515728832e-238,0.0,0.0,0.00944106715688947,5.018043393190216e-44
CELF2,0.9999948470703507,0.0,0.0,3.4098570251387552e-43,0.0,0.0,5.1529296507862685e-06,4.39316273194312e-71
ANP32B,1.3684001585920908e-10,0.0,0.0,0.9999999998631601,0.0,0.0,9.098439587761077e-26,3.381222195073466e-24
MTMR9,0.9999999999005951,0.0,0.0,0.0,0.0,0.0,9.94046469609371e-11,4.833656043400347e-95
RIPK3,0.0007207856867597842,0.0,0.0,7.647916297520294e-22,0.0,0.0,0.9992792143132385,1.1295185141785042e-70
HOXB2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CDKN2C,3.052617243245873e-07,0.0,0.0,0.9999996947382734,0.0,0.0,1.5567608513506696e-15,4.960881801130929e-16
RAB11FIP4,0.999898529513497,0.0,0.0,4.3750711338966135e-71,0.0,0.0,0.00010147048650171848,3.086238339597256e-32
CXCL16,0.9620413890983237,0.0,0.0,5.34674233723038e-103,0.0,0.0,0.03795861090167714,2.6777313002954367e-19
GADD45G,0.9999999999932605,0.0,0.0,0.0,0.0,0.0,6.740268464308173e-12,2.5629952939704424e-47
HEMGN,1.0,0.0,0.0,1.1298758856746509e-76,0.0,0.0,4.1149381405220734e-27,1.2325796070872326e-33
SPOCK2,1.0,0.0,0.0,5.314956948005236e-20,0.0,0.0,1.413705668758706e-17,1.3728937948680419e-18
PDE4A,0.001724543729839321,0.0,0.0,8.758227458445963e-126,0.0,0.0,0.9982754562701615,1.1506706710213367e-102
MT1X,2.2246413275401696e-77,0.0,0.0,2.943235252465339e-70,1.0,0.0,1.1150374158967491e-42,2.9998134631009717e-131
MECP2,2.9386143731984146e-05,0.0,0.0,7.776330532321914e-175,0.0,0.0,2.3004828798174794e-23,0.9999706138562686
COL18A1,0.9993198451063808,0.0,0.0,1.629513689192886e-135,0.0,0.0,0.0006801548936188759,1.151606490189999e-40
NFIC,3.149719987680252e-17,0.0,0.0,1.0,0.0,0.0,6.164569796860633e-24,1.4311853247830087e-53
MT2A,4.128568895588722e-37,0.0,0.0,1.0,0.0,0.0,9.642832113889197e-38,4.595537969870794e-221
HLA-C,0.9999999999590905,0.0,0.0,1.272197093328111e-248,0.0,0.0,1.3158726592293169e-17,4.0910107219373915e-11
CLYBL,4.5544212042105253e-07,0.0,0.0,4.37696836927179e-19,0.0,0.0,2.4979872384898787e-17,0.9999995445578793
TSHZ2,0.9999999999834692,0.0,0.0,1.6518185902311797e-11,0.0,0.0,1.122832411962218e-14,1.3129983347946487e-40
ARF1,2.4346727413988464e-14,0.0,0.0,0.9999999999999751,0.0,0.0,2.6898596107147055e-24,7.249170351428576e-49
AUTS2,3.1174527250008127e-13,0.0,0.0,0.9999999999996891,0.0,0.0,4.643253766168854e-17,3.5996514716219196e-20
PDIA6,0.002101549225133169,0.0,0.0,1.6947145822193762e-41,0.0,0.0,1.179985861791161e-09,0.9978984495948817
GADD45B,9.047609287632294e-05,0.0,0.0,8.439695467060579e-17,0.0,0.0,9.09307569831541e-06,0.9999004308314252
C9orf142,0.9999971501007148,0.0,0.0,7.422770675951462e-69,0.0,0.0,2.8432858989978627e-06,6.613384875368304e-09
NEURL1,0.9999912016155,0.0,0.0,2.730848362087063e-65,0.0,0.0,8.79838449872455e-06,6.45706622298223e-27
GPATCH2L,3.483526545775792e-05,0.0,0.0,5.161534269577595e-40,0.0,0.0,1.282095626865858e-12,0.9999651647332606
RBM10,0.006768945176616431,0.0,0.0,5.690601394466054e-170,0.0,0.0,1.9374781959834113e-13,0.9932310548231896
SMARCD3,0.9941389578958789,0.0,0.0,5.790816698860214e-139,0.0,0.0,0.005861042104121904,3.1169051285700443e-30
TCF20,8.308824596632742e-08,0.0,0.0,1.4305449604736138e-06,0.0,0.0,7.093394046275191e-20,0.9999984863667934
FAF1,3.5764392657928297e-08,0.0,0.0,0.9999999642079433,0.0,0.0,4.59048291131365e-23,2.766475495288634e-11
MXI1,2.078902408788134e-20,0.0,0.0,1.0,0.0,0.0,1.683581221965297e-20,2.0619637313862196e-32
HS3ST3B1,0.012284772330664542,0.0,0.0,1.3683841977376445e-70,0.0,0.0,0.9877152276693373,5.047501689488323e-193
KRT2,2.6890723119417885e-37,0.0,1.0,0.0,0.0,0.0,1.85734201206066e-99,1.1204531917810518e-102
USP3,3.07486364052623e-08,0.0,0.0,0.999999969251363,0.0,0.0,1.092607836296396e-21,3.230990236472816e-17
ITGB2,0.9831155823402624,0.0,0.0,4.133817630784846e-36,0.0,0.0,0.016884417659737066,3.947822642317044e-32
DUSP2,0.999738450564771,0.0,0.0,4.7533515648635576e-91,0.0,0.0,0.00026154943522975493,3.92600572229532e-19
WDFY4,0.9999999999998863,0.0,0.0,0.0,0.0,0.0,1.4062829050505095e-36,1.1348691692584738e-13
TAGAP,1.0,0.0,0.0,2.0466507904419915e-246,0.0,0.0,6.035221742728677e-35,3.984156995727128e-26
RING1,0.00026188361756418623,0.0,0.0,1.1460947650075928e-09,0.0,0.0,7.467228678055258e-15,0.9997381152363342
CCND2-AS1,0.9999962039272854,0.0,0.0,0.0,0.0,0.0,3.796072713393683e-06,2.990492227272621e-39
RPS4X,0.0026693426389763387,0.0,0.0,7.651959485144336e-255,0.0,0.0,2.0951949836068714e-27,0.9973306573610239
ZNF175,0.975525418824459,0.0,0.0,0.0,0.0,0.0,0.02447458117554159,1.2483213689649455e-53
AMMECR1,0.00013042021325046401,0.0,0.0,0.0,0.0,0.0,2.357441733600146e-36,0.9998695797867502
C10orf35,5.4438124942278525e-30,0.0,1.0,0.0,0.0,0.0,2.9808704040344995e-82,3.235288758845073e-75
KCNA3,1.0,0.0,0.0,0.0,0.0,0.0,6.5081934462127136e-21,6.770323908950926e-36
