Symbol	logFC	unshrunk.logFC	logCPM	PValue	FDR
Cotl1	2.654263936	2.655174098	6.992426807	3.32E-11	1.56E-08
Cd68	3.212256743	3.214416733	6.072878095	3.59E-11	1.65E-08
Kif2c	4.267859192	4.314633717	4.03097081	4.40E-11	1.97E-08
Chil3	7.593103216	7.905107757	4.504980435	4.71E-11	2.07E-08
Cyp4f18	6.032867476	6.342696121	2.781582354	5.81E-11	2.45E-08
Serpina3n	4.659328443	4.660505666	5.707519606	5.90E-11	2.45E-08
Loxl4	2.902538914	2.908411473	3.726488869	5.93E-11	2.45E-08
Cd300lf	6.626610535	6.937712771	3.724701428	6.06E-11	2.45E-08
Ccna2	3.408699227	3.419243717	5.889799448	6.33E-11	2.51E-08
Pik3r5	3.324724725	3.334512175	4.705580192	7.26E-11	2.83E-08
Clec4e	6.45805958	6.768849423	5.258068846	7.42E-11	2.84E-08
Kcnn4	4.806661823	4.872705033	2.77810116	8.38E-11	3.14E-08
Cd300lb	3.612775995	3.633977815	3.82968682	1.43E-10	5.26E-08
Slfn4	6.524042295	6.835480138	4.769900056	1.48E-10	5.37E-08
Glipr2	2.665239302	2.669881938	6.086964213	1.55E-10	5.51E-08
Aurkb	3.630053757	3.652818579	4.11764387	1.60E-10	5.59E-08
Hpse	3.206297507	3.224623287	3.492204811	1.68E-10	5.76E-08
Plk1	3.865076013	3.905406599	3.057158342	2.34E-10	7.93E-08
Trem1	8.406537529	144269485.2	4.724099402	2.45E-10	8.16E-08
Tpx2	3.27510473	3.284108994	5.652963184	2.50E-10	8.18E-08
Nrip3	3.692009686	3.716754968	0.510279718	2.79E-10	9.00E-08
Mcemp1	7.798047625	144269484.5	2.612812604	2.97E-10	9.44E-08
Gpnmb	6.082937479	6.093866459	7.037160665	3.08E-10	9.62E-08
Uhrf1	2.999525346	3.007029735	5.176940963	3.12E-10	9.62E-08
Psat1	2.748948278	2.751662835	4.981921533	3.29E-10	9.98E-08
Eno2	2.897690755	2.900979458	3.528376394	3.47E-10	1.03E-07
Anln	3.446203358	3.456194674	5.92886834	3.51E-10	1.03E-07
F7	5.070513524	5.152930012	2.690959906	4.09E-10	1.19E-07
Dpep2	3.827890043	3.852472819	3.749000584	4.13E-10	1.19E-07
Lpxn	3.695876118	3.714529503	3.925896832	4.41E-10	1.25E-07
Sh2d5	4.69024421	4.756348178	1.659954438	4.60E-10	1.28E-07
Gpr35	3.85257173	3.892900278	3.891106239	4.64E-10	1.28E-07
Slc41a2	2.672007339	2.678053375	4.08220055	4.95E-10	1.34E-07
Atp1a3	4.386188083	4.451460767	2.58286021	5.46E-10	1.46E-07
Cnn1	3.482557665	3.49834681	1.886153784	5.70E-10	1.51E-07
Mmp12	5.464000102	5.500957735	4.529684376	7.13E-10	1.86E-07
Apobec1	3.377565373	3.38205024	6.030650701	7.74E-10	2.00E-07
Lrp8	4.135698154	4.17640269	1.606319919	9.88E-10	2.52E-07
Fhl1	2.568366006	2.568405356	7.857983853	1.02E-09	2.57E-07
Steap2	3.34730539	3.369755099	3.816035633	1.37E-09	3.41E-07
Prg4	3.670951713	3.688781582	3.157666703	1.58E-09	3.89E-07
Ikbke	3.283295694	3.305582536	4.424679617	1.73E-09	4.19E-07
Fgr	3.55926614	3.588154701	4.194641692	1.75E-09	4.19E-07
S100a6	2.670812166	2.671861138	6.726040441	1.79E-09	4.26E-07
Col5a2	2.772635402	2.772943152	9.868302209	1.88E-09	4.40E-07
Mcm10	3.913765732	3.967441174	3.715428113	2.05E-09	4.76E-07
Tubb2b	2.755476066	2.761578412	3.326876198	2.13E-09	4.89E-07
Hist1h2bm	3.487768339	3.508802187	3.73073668	2.35E-09	5.33E-07
Selp	4.419347507	4.484645419	3.997775797	2.69E-09	6.04E-07
Nmrk2	4.888161829	4.888354197	6.464947356	2.81E-09	6.24E-07
Myof	2.544533642	2.546037505	6.983921977	2.87E-09	6.31E-07
Col1a1	3.542229363	3.542391642	10.9209336	3.07E-09	6.67E-07
Alox15	5.468798658	5.630535624	2.09258633	3.18E-09	6.84E-07
Lcn2	4.819813631	4.820634155	5.315398571	3.91E-09	8.32E-07
Bcat1	3.447689962	3.465228319	4.083743237	5.66E-09	1.19E-06
Lhfpl2	2.442285435	2.444250325	6.646285944	5.83E-09	1.22E-06
Sirpb1c	7.416575953	144269484.2	2.16880334	6.33E-09	1.31E-06
Trem2	3.643771737	3.651987275	5.008786339	6.55E-09	1.34E-06
Soat1	2.352368649	2.353690465	7.082995111	8.30E-09	1.68E-06
Postn	3.233249643	3.233749766	10.84853675	8.43E-09	1.69E-06
Kntc1	3.588070377	3.61091745	5.05982798	8.60E-09	1.71E-06
Car13	3.348503448	3.377067418	3.256538854	9.03E-09	1.78E-06
Gpr176	4.314590123	4.395608737	2.3962504	1.07E-08	2.09E-06
Nuf2	4.380125793	4.461427299	4.088038335	1.09E-08	2.09E-06
Tnnt3	4.40925207	4.474592894	0.747195931	1.11E-08	2.12E-06
Col11a1	6.271625235	6.582036521	4.958551829	1.24E-08	2.35E-06
Hist1h1a	2.605273266	2.607556429	5.905002987	1.33E-08	2.50E-06
Chaf1b	3.140190324	3.16220606	3.762520127	1.53E-08	2.85E-06
Myo1g	2.967717621	2.976171914	5.09787922	1.60E-08	2.96E-06
Birc5	3.493479823	3.517946064	4.339802544	1.65E-08	3.02E-06
Melk	3.672044594	3.707560273	3.823978089	1.71E-08	3.08E-06
Cdk1	3.007992156	3.015715382	5.729870272	1.72E-08	3.08E-06
Hist1h3h	3.870343429	3.916330879	2.564468467	2.13E-08	3.78E-06
Cdc6	3.146017645	3.171745196	3.346999711	2.19E-08	3.86E-06
Lcp1	2.752648004	2.753559227	7.73691541	2.37E-08	4.14E-06
Il1rn	5.42342334	5.533436368	4.676466171	2.45E-08	4.25E-06
Egr2	3.83263153	3.872880398	5.193108945	2.80E-08	4.82E-06
Itgam	3.649038263	3.651820433	7.219387294	2.93E-08	5.00E-06
Emb	3.180653687	3.192585751	5.167224213	3.01E-08	5.05E-06
Ccl7	3.663132882	3.674867964	5.192892989	3.01E-08	5.05E-06
Exo1	4.541130371	4.700290161	3.09845513	3.05E-08	5.08E-06
Bub1	4.396605259	4.477819089	4.509244599	3.27E-08	5.39E-06
Mpeg1	3.346725012	3.348254828	8.008810715	3.31E-08	5.41E-06
Ltbp2	2.942637128	2.944538805	5.835300587	3.62E-08	5.80E-06
Espl1	2.541257073	2.550034002	4.542617658	3.62E-08	5.80E-06
Cpne2	2.15916393	2.162697179	3.698974123	3.63E-08	5.80E-06
Sh3bp2	2.084431955	2.086742348	4.831701468	4.03E-08	6.40E-06
Cenpi	3.676924795	3.730017158	3.834960513	4.29E-08	6.76E-06
Stbd1	2.474232727	2.480604928	2.150774336	4.64E-08	7.26E-06
Il33	2.649221123	2.656818106	4.367329816	4.87E-08	7.56E-06
Marco	5.307422828	5.416370998	3.834891731	5.21E-08	8.03E-06
Dmkn	5.024274977	5.185346411	1.781984128	5.59E-08	8.54E-06
Plek	3.065905213	3.068811471	7.545483073	5.82E-08	8.83E-06
Hist1h1b	2.965309441	2.967866995	6.01358	6.99E-08	1.05E-05
Abcc3	2.199038424	2.200803806	5.112531977	8.08E-08	1.21E-05
Ms4a6d	3.288854061	3.294057838	5.684864136	8.58E-08	1.27E-05
Ncf4	3.115529124	3.123736902	4.962890853	8.64E-08	1.27E-05
4930427A07Rik	3.076917059	3.104789849	2.898683816	9.05E-08	1.32E-05
Cd52	3.645300604	3.674334639	4.358662611	9.97E-08	1.45E-05
Fcer1g	2.847272099	2.851834876	5.427410548	1.07E-07	1.54E-05
Top2a	3.322597235	3.326267034	7.699154576	1.11E-07	1.57E-05
Col18a1	2.278241192	2.278795631	7.802311558	1.12E-07	1.58E-05
Hck	2.781056563	2.78938688	4.864701787	1.13E-07	1.58E-05
Alcam	2.688291521	2.695141748	5.092415201	1.14E-07	1.59E-05
St14	2.995319065	3.012360035	0.285298628	1.20E-07	1.67E-05
Upk1b	3.286510586	3.306162574	2.921549959	1.31E-07	1.80E-05
Glipr1	3.991470377	4.071597589	2.803528176	1.39E-07	1.90E-05
Cxcl5	5.298267165	5.459256712	3.029542255	1.40E-07	1.90E-05
Mybl2	3.612667193	3.675758054	2.753708867	1.42E-07	1.91E-05
Foxm1	2.547977663	2.557317055	4.340981293	1.51E-07	2.02E-05
Ticrr	4.311412615	4.46928268	2.657200749	1.59E-07	2.12E-05
Tsku	2.298173867	2.30203293	4.508651141	1.65E-07	2.18E-05
Mmp14	2.194740553	2.19560362	7.584685749	1.76E-07	2.31E-05
Efhd2	2.087271086	2.087691057	5.902372837	2.02E-07	2.63E-05
Mcm5	2.237547327	2.23905226	5.944315661	2.11E-07	2.74E-05
Rnd1	2.661885619	2.665092013	4.268612395	2.34E-07	3.02E-05
Pbk	3.737281154	3.800989496	3.811720282	2.44E-07	3.13E-05
Cemip	4.591516284	4.750580745	3.117880125	2.46E-07	3.14E-05
Havcr2	4.915264185	5.075634107	3.330875355	2.48E-07	3.14E-05
Sh3pxd2b	1.962414984	1.963744113	6.610912106	2.61E-07	3.29E-05
Il1b	4.386249234	4.422677018	6.51307343	2.63E-07	3.29E-05
Bin2	2.792692599	2.809291341	4.103568951	2.69E-07	3.32E-05
Runx1	2.556033209	2.561955163	5.158329491	2.69E-07	3.32E-05
Loxl3	2.29345423	2.295105099	5.567271217	2.82E-07	3.47E-05
Steap1	7.235564773	144269484	0.702560504	2.86E-07	3.50E-05
Cxcl2	4.179689262	4.244304478	6.889992604	2.95E-07	3.58E-05
Serpina3m	5.184142814	5.231594186	1.029792476	3.04E-07	3.67E-05
Rtn4	1.817240017	1.817286467	7.963515822	3.10E-07	3.70E-05
Prc1	2.895461887	2.902848953	6.061083519	3.10E-07	3.70E-05
Cd84	3.608863109	3.619454702	5.361387647	3.14E-07	3.70E-05
Msr1	3.727924412	3.731909227	6.768996623	3.15E-07	3.70E-05
Il7r	6.131799219	6.441294587	3.011119598	3.15E-07	3.70E-05
Iqgap3	2.977663928	2.985357022	5.460929586	3.19E-07	3.72E-05
Cdca5	3.519292793	3.571706944	2.800409321	3.25E-07	3.77E-05
Ncapg	3.633827128	3.673443814	4.603697787	3.58E-07	4.13E-05
Col8a1	2.70276858	2.703703291	7.623850637	3.64E-07	4.14E-05
AB124611	2.662742073	2.674017855	4.105649031	3.65E-07	4.14E-05
E2f1	2.872280743	2.890004322	3.875760564	3.65E-07	4.14E-05
Cd200r1	3.816842929	3.880718937	3.021452734	3.72E-07	4.20E-05
Hist1h2bk	3.009831675	3.025745421	3.569958076	3.80E-07	4.26E-05
Col1a2	2.699952942	2.700029919	11.5660251	3.95E-07	4.40E-05
Cdh3	3.417333103	3.456552334	2.411428604	4.00E-07	4.43E-05
Lcp2	2.485984611	2.493493645	4.747562938	4.36E-07	4.81E-05
Klf5	6.740411664	144269483.5	-0.276590811	4.49E-07	4.93E-05
Mms22l	2.351055799	2.359880939	4.310502338	4.62E-07	5.05E-05
Angpt4	3.137705339	3.158348958	0.433234266	4.79E-07	5.18E-05
Vav1	3.123716887	3.130915852	5.244799388	4.80E-07	5.18E-05
Lat2	3.027715437	3.044052115	3.126028654	5.05E-07	5.42E-05
Map1b	1.968659611	1.96900567	7.189805319	5.24E-07	5.60E-05
Ncam1	2.391923762	2.393245537	4.998866173	5.64E-07	6.00E-05
Socs3	2.492709153	2.493577186	7.8936121	5.91E-07	6.25E-05
Lilrb4a	3.496070978	3.503177599	6.361358543	5.94E-07	6.25E-05
Apobr	2.977165994	3.000626942	3.748792416	6.20E-07	6.46E-05
Col3a1	2.594166392	2.594204368	13.09731943	6.30E-07	6.54E-05
Stra6l	7.517076132	144269484.3	1.056960133	6.39E-07	6.59E-05
Ccl6	3.402516429	3.404192388	7.033949973	6.60E-07	6.77E-05
Hist1h3b	2.709833063	2.718119334	4.362876759	6.71E-07	6.85E-05
Ch25h	3.427025019	3.458557988	3.103047511	6.76E-07	6.87E-05
Dtl	3.286941787	3.321533745	4.637059941	6.79E-07	6.87E-05
Atp8b4	3.459437091	3.483895358	4.308651983	6.96E-07	7.01E-05
Csf2rb2	2.968234512	2.993558853	3.701034438	7.11E-07	7.13E-05
Hist1h2ak	4.180849936	4.287420255	1.985329	7.16E-07	7.14E-05
Nek2	3.409825379	3.444783155	4.020091103	7.20E-07	7.14E-05
Cd14	2.646242555	2.648050414	7.046612423	7.63E-07	7.54E-05
F5	3.502682216	3.565228744	2.650795662	7.81E-07	7.67E-05
Ms4a4c	7.302910113	144269484	2.391348395	7.86E-07	7.69E-05
Olfm1	2.110322092	2.115501454	3.569118627	8.56E-07	8.34E-05
Pak3	3.020399781	3.029889165	1.909456579	8.84E-07	8.57E-05
Akr1b8	2.328813887	2.332124129	3.899235385	9.01E-07	8.69E-05
Cdc20	2.509261307	2.517001201	4.541226516	9.48E-07	9.10E-05
Tbxas1	2.22697747	2.230340031	4.984474511	9.62E-07	9.19E-05
Hp	3.904909382	3.912775144	4.936962513	9.72E-07	9.24E-05
Fpr1	7.080966594	144269483.8	3.025619607	9.98E-07	9.45E-05
Ptpn7	2.80963722	2.825394152	3.600014151	1.01E-06	9.51E-05
Snx20	2.710511143	2.733282589	2.788535969	1.08E-06	0.00010145
Fxyd5	2.088126407	2.089017861	6.181913237	1.12E-06	0.000104587
Vcan	2.268725332	2.269448357	8.937831741	1.23E-06	0.000113914
Stil	3.287700286	3.33216429	4.005185193	1.25E-06	0.00011546
Pif1	4.212617928	4.369936838	2.689623351	1.26E-06	0.000116477
AA467197	6.884012315	144269483.6	-0.077714757	1.31E-06	0.000119769
Ctgf	2.228993666	2.229049319	7.4324535	1.36E-06	0.000123507
Mefv	5.02344323	5.329089969	3.081042008	1.36E-06	0.000123507
Ly9	3.67785753	3.713200895	3.240962157	1.36E-06	0.000123507
Brca1	2.888279709	2.906097229	4.621224658	1.42E-06	0.00012835
Hist1h2ab	4.266560679	4.423972447	1.833147327	1.44E-06	0.000129047
Ccnf	2.489302887	2.50128032	3.440638079	1.49E-06	0.000133557
Slfn1	4.863958593	5.168468383	2.220429332	1.53E-06	0.000135889
Dok1	2.105843879	2.110245966	4.023669118	1.53E-06	0.000135889
Ccnb1	3.322711576	3.374538339	3.270221562	1.58E-06	0.000138993
Krt8	3.453644721	3.484966296	1.237081269	1.58E-06	0.000138993
Vim	1.880185504	1.880232356	10.67569463	1.72E-06	0.000150081
Hk3	3.037890932	3.04384061	4.762178932	1.85E-06	0.000160569
Loxl2	2.279947124	2.281000692	7.687814448	1.86E-06	0.000160569
Dio3	5.013015986	5.318424045	0.255273835	1.86E-06	0.000160569
Racgap1	2.455398891	2.460910253	5.420434679	2.18E-06	0.0001876
Mmp8	5.652067725	5.960143289	3.666331916	2.20E-06	0.000188322
Cyth4	2.177722271	2.179043725	6.452180874	2.29E-06	0.000195479
Gtse1	2.82064309	2.843667053	2.916721811	2.37E-06	0.000201469
Slc11a1	2.735112028	2.739314933	5.357549259	2.42E-06	0.000204397
Parvg	2.354425328	2.360689304	4.134232385	2.46E-06	0.000206138
Dpysl3	1.699577974	1.699711519	8.20571902	2.46E-06	0.000206138
P2ry6	2.152003582	2.155208001	4.705224319	2.52E-06	0.000210684
Rab32	2.204259262	2.21052392	4.162606351	2.53E-06	0.000210788
Clec2g	4.864094028	5.168846454	0.715903169	2.56E-06	0.000212395
Cd180	3.336905531	3.375902229	2.855470267	2.64E-06	0.000218098
Ncaph	2.25102447	2.258131724	4.829481017	2.90E-06	0.000237246
Anxa2	1.90645963	1.906556685	8.669359552	2.94E-06	0.000239299
Itgb2	2.803414576	2.804968097	6.568895161	2.95E-06	0.000239299
Il1rl2	2.297309547	2.309459131	4.52874117	2.96E-06	0.000239507
Ms4a8a	3.733683148	3.812562568	1.703699734	3.01E-06	0.000242785
Hist1h2bh	2.693929561	2.706067055	3.30817888	3.09E-06	0.000248525
Cenph	6.491765435	144269483.2	1.832219203	3.20E-06	0.000256237
Tnfrsf13b	3.274965264	3.336724185	3.024182341	3.24E-06	0.000258218
Dock2	2.785447831	2.789276997	6.423459935	3.39E-06	0.000268711
Ccl9	3.113921808	3.115979873	6.656573739	3.47E-06	0.000273976
Irg1	4.674097511	4.833345732	3.20847433	3.51E-06	0.000276335
Spi1	2.740460445	2.74614875	4.913781118	3.55E-06	0.000278943
Prss23	2.038053466	2.039714531	4.329561626	3.62E-06	0.000283183
Slc6a19	6.58714281	144269483.3	-2.242664876	3.66E-06	0.000284051
Gadd45g	2.194978156	2.195656144	4.988948017	3.66E-06	0.000284051
Selplg	2.497226406	2.502253439	4.653927359	3.87E-06	0.000299346
Rac2	2.543091715	2.547882273	5.50067049	4.10E-06	0.00031535
Mthfd1l	2.316682968	2.323207191	4.254239055	4.28E-06	0.000328331
Muc15	4.054658081	4.119519081	-0.908385427	4.43E-06	0.000338434
Ccl3	4.517557879	4.676205373	4.458782828	4.50E-06	0.000342991
Anxa8	3.281463159	3.320165565	1.831571863	4.54E-06	0.000344251
Rab15	2.690280192	2.709878272	2.572501701	4.61E-06	0.000348309
Runx2	3.470439182	3.548268803	2.10923007	4.76E-06	0.000358536
Sgms2	2.462072436	2.4763864	4.281515755	5.15E-06	0.000386846
Cd244	6.507101919	144269483.2	1.676665843	5.28E-06	0.000395073
Gpr132	4.581168716	4.883447899	2.942428279	5.47E-06	0.000406992
Atp6v0d2	5.800703406	6.109557066	2.744896006	5.48E-06	0.000406992
Tm4sf19	6.601220731	144269483.3	0.063009522	5.72E-06	0.000423284
Clcn5	1.793938449	1.796048125	5.988385088	5.86E-06	0.000432217
Ect2	2.809479194	2.827121977	4.751290651	6.03E-06	0.000442839
Mfap5	2.296971599	2.298450449	7.187409461	6.23E-06	0.000455685
B4galt5	1.756501067	1.756753428	6.219741965	6.29E-06	0.000458878
Kif22	2.160589013	2.166516743	4.390442773	6.33E-06	0.000459704
Ngef	3.563266153	3.641432804	1.107325435	6.35E-06	0.000459704
Cdh1	6.592746623	144269483.3	0.833370336	6.82E-06	0.00049197
B3gnt7	3.296733502	3.358545083	1.422968183	6.86E-06	0.000493405
Cenpm	3.6843813	3.788418663	2.252278467	6.99E-06	0.000501013
Plau	2.182890238	2.184876183	5.715215924	7.09E-06	0.000505625
Krt19	2.683735469	2.690545608	3.263925122	7.12E-06	0.000505625
Cfp	2.220951837	2.222399072	5.888484763	7.13E-06	0.000505625
Nckap1l	2.716899477	2.718591326	6.898175155	7.18E-06	0.000507499
Psrc1	3.669145354	3.773258876	2.346013575	7.29E-06	0.000513131
Kif18b	3.165130426	3.19063523	3.585423753	7.46E-06	0.000523956
Krt7	2.886585403	2.908093091	2.189511565	7.53E-06	0.000526867
Mcoln2	3.948509918	4.054225339	2.435043171	7.60E-06	0.000529989
Lst1	2.837236357	2.867165753	3.461417195	7.69E-06	0.000534128
Cep55	3.240326211	3.274964997	4.380660516	7.82E-06	0.000541396
Sec1	2.671350936	2.687611061	-0.539272097	7.96E-06	0.000549124
Pdpn	2.52227814	2.52970367	4.116334925	8.22E-06	0.000564242
Il21r	3.178810975	3.230031844	2.777773841	8.23E-06	0.000564242
Emp3	1.987573028	1.988996225	5.80615513	8.32E-06	0.000568148
Nsl1	2.673473275	2.69798192	2.792483453	8.36E-06	0.000568148
Slc7a8	2.72161412	2.730185823	4.198846103	8.37E-06	0.000568148
Stxbp2	1.915696933	1.919236803	4.264858621	8.86E-06	0.000599373
Rbp1	2.2383721	2.241173007	5.702054331	9.03E-06	0.000605739
Glis3	2.204430858	2.214565329	3.041921565	9.05E-06	0.000605739
Crlf1	2.545837863	2.556903464	2.742832277	9.05E-06	0.000605739
Csf3r	2.925180113	2.940971432	4.399665836	9.07E-06	0.000605739
Disp2	4.188417549	4.345260905	-0.33121043	9.14E-06	0.00060814
Rab7b	2.778200393	2.784887324	5.540478226	9.35E-06	0.000619796
Gjb3	6.612742701	144269483.3	-1.004711411	9.37E-06	0.000619796
Anxa1	2.010415662	2.01109757	7.790190564	9.41E-06	0.000620207
Fam64a	2.800174884	2.818769375	4.028251477	1.06E-05	0.000698561
Dlgap5	2.851815564	2.873199692	4.13079988	1.08E-05	0.000706883
Kcnk13	2.663123962	2.680383163	2.883098007	1.09E-05	0.000711346
Cdca7l	3.004668257	3.048073233	2.882018412	1.09E-05	0.000711734
Chil1	4.975368734	5.031850805	3.896152827	1.17E-05	0.000759329
Spag5	2.358621295	2.365339521	4.853459901	1.17E-05	0.000759329
Myoz1	3.442867941	3.520301109	0.632228053	1.18E-05	0.000759329
Ptgs2	3.279469918	3.300211324	5.644934806	1.21E-05	0.000777687
Tnfrsf23	1.949833041	1.952504631	2.436616974	1.22E-05	0.000780581
Col6a3	2.075244716	2.07545287	9.272204042	1.25E-05	0.000797159
Tmem176a	1.822576196	1.823122821	4.916698646	1.46E-05	0.000929266
Cd53	2.691135239	2.694234513	6.343953512	1.56E-05	0.000988485
Fanci	2.63473467	2.661394965	3.220529398	1.56E-05	0.000988485
Parpbp	3.023374906	3.066817174	3.026644564	1.57E-05	0.000988485
Mki67	2.965918732	2.968399975	8.09666302	1.59E-05	0.001001787
C3ar1	2.812889196	2.814902307	6.666227709	1.61E-05	0.001012448
Ska1	3.843608365	3.998634383	2.258731594	1.63E-05	0.001018259
Ccr1	3.034280099	3.040655317	5.769422538	1.66E-05	0.001035678
Casc5	2.903608355	2.92126224	5.249805323	1.67E-05	0.001038841
Fstl1	2.03449497	2.034639335	10.56967394	1.68E-05	0.001041101
Spred3	2.240405694	2.25416295	3.054353027	1.68E-05	0.001041101
Sh2b2	2.228137097	2.238729682	3.431244965	1.70E-05	0.001047
Tacc3	2.019878124	2.023075904	5.091092191	1.71E-05	0.001049998
Fstl3	2.247955445	2.250587133	1.673945963	1.73E-05	0.001061129
Tgfb2	1.792529257	1.793122784	4.698559945	1.78E-05	0.001085057
Ugt1a7c	2.982049728	3.015784214	2.847728578	1.80E-05	0.001095991
Kcnab2	2.474337074	2.478527256	4.42461727	1.83E-05	0.001110046
Prss46	6.93158239	144269483.7	-1.43107753	1.84E-05	0.001110046
Plaur	2.292221747	2.295784156	5.259178631	1.84E-05	0.001110046
Il17ra	1.985612083	1.988059236	5.377328783	1.87E-05	0.001123111
Clec2i	3.835641031	3.99074838	1.688620818	1.88E-05	0.001125633
Tnfaip6	2.820407461	2.837943768	4.474647729	1.93E-05	0.001152634
Ncf1	2.44596022	2.449354818	5.702234554	1.94E-05	0.001157354
Hist1h4b	2.69874578	2.713235989	2.841002068	2.02E-05	0.001201937
Ereg	4.86587762	5.170774533	2.954655292	2.05E-05	0.001218236
Pf4	2.1373745	2.139519304	5.502960922	2.08E-05	0.001232595
S100a10	1.858725489	1.859053198	7.119726992	2.15E-05	0.001265558
Milr1	2.947824442	2.981605579	3.489333448	2.18E-05	0.001281764
Rhov	6.511092472	144269483.2	0.467698436	2.28E-05	0.001337928
Trip13	2.526918156	2.549135107	3.201661748	2.31E-05	0.001351402
Tubb2a	1.764530527	1.764763283	5.738319607	2.44E-05	0.001421329
Gjb5	4.455540985	4.756594445	0.179407319	2.44E-05	0.001421329
Ctss	3.142725124	3.144064034	7.851605166	2.45E-05	0.001421726
Ltb4r1	2.707004544	2.733769323	2.349348636	2.50E-05	0.001443748
Ada	2.068971624	2.074566705	3.683994322	2.53E-05	0.001458467
Pafah1b3	1.869540185	1.871283544	3.216849105	2.58E-05	0.001482858
Clspn	2.558091343	2.577479324	4.231407021	2.65E-05	0.001516249
Hist1h3d	2.32609484	2.335023869	3.600633569	2.73E-05	0.001559618
Adcy7	1.864813241	1.865705368	7.081835147	3.03E-05	0.001725164
Col7a1	2.884164865	2.917610912	2.514066487	3.05E-05	0.001734051
Lilra6	2.649378429	2.678593538	2.946378829	3.07E-05	0.001737792
Rgs1	3.785931455	3.814815257	5.914986952	3.07E-05	0.001737792
Prr11	2.897418088	2.947358036	2.457444553	3.20E-05	0.001798857
Hist1h3g	2.741848274	2.768648262	2.584850559	3.23E-05	0.001810416
Sec16b	2.326145961	2.33833034	4.500381286	3.27E-05	0.001829716
Acp5	3.054395419	3.074616116	3.292671163	3.31E-05	0.001846847
Cenpe	2.954273569	2.967464249	5.53340485	3.35E-05	0.001864014
Slc39a6	1.59269713	1.593767615	5.018218871	3.36E-05	0.001865722
Raet1d	6.243453429	144269483	0.351691849	3.57E-05	0.001977226
Sirpb1a	4.515851881	4.818118461	1.693445694	3.67E-05	0.002027013
Dclk1	2.428627719	2.438435748	5.205547184	3.80E-05	0.002082995
