,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10,Cluster11,Cluster13
RP1-202O8.3,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,0,0,0.000177344143982702,0,0,0,0,0,0,0,0,0,0
TNFRSF25,8.02962160360505e-07,2.08325679301238e-05,2.18717999091115e-05,1.9507706002268e-06,0,8.17590889643699e-06,1.12413109018265e-05,2.52412821525069e-05,2.89880945416858e-06,4.13358749537165e-06,0,1.43646916491467e-06,0
NOL9,5.57274162835039e-10,1.61411892906936e-09,0,0,2.5999558595078e-09,0,2.205227529679e-09,2.59718517666183e-09,7.27833409826237e-10,2.37237589672874e-09,0,1.27168019859983e-09,0
ZBTB48,5.20380159454922e-10,0,3.68938395689569e-10,8.76379919879979e-10,4.66237738819213e-10,0,1.03928528760109e-09,7.25365682632911e-10,1.27634874623502e-10,0,0,6.71280790582119e-10,0
KLHL21,1.29468084319326e-08,0,1.8364224994611e-07,3.29639142580452e-08,5.96056697883545e-08,0,0,8.70647922150084e-08,4.06191671993618e-08,1.11861714302624e-07,0,5.20334242221245e-08,0
PHF13,1.29375166193876e-08,0,2.87537075324764e-08,0,6.58728427112118e-08,0,0,0,2.09062937023218e-08,3.50406014484237e-08,0,0,0
THAP3,4.86968036023864e-10,2.38090908471702e-09,1.83369128066421e-09,5.16258374435792e-10,1.4096668257686e-09,1.06085429294626e-09,1.91944638493815e-09,2.11309080547598e-09,9.57730463459974e-10,7.34668154770969e-10,0,3.19525160266603e-10,0
DNAJC11,2.33843241160678e-10,2.40718119579149e-09,2.98902305244171e-09,0,0,0,2.80545046104686e-09,0,1.98019926998912e-09,5.68976163095943e-09,0,0,0
CAMTA1,0.00567280734132899,0.000717707157148557,0.00202169707480734,0.00399548180792756,0.00241679735754319,0,0.00208852230178121,0.00458970487783182,0.00606200642244895,0.00457972082831146,0,0.00443928450177712,0.0261576239149416
VAMP3,6.16774822663918e-08,0,1.57997592526574e-08,7.65273104429616e-08,1.68748541299099e-08,0,1.8003667015973e-08,1.43046456211226e-08,4.30319230427131e-08,2.05971873477819e-08,0,3.4947904264036e-08,4.42048206937134e-07
PER3,4.96641054745747e-09,0,0,0,0,1.52829712942977e-07,0,0,0,0,0,0,0
TNFRSF9,1.87017262458258e-06,0,2.57682306450827e-06,9.08018016110431e-07,0,7.59021483620173e-06,8.34811123343905e-06,0,6.76915943768986e-06,1.5741149056415e-05,0,0,0
PARK7,3.42011713881696e-09,5.88934613936833e-09,5.10110195498138e-09,5.09852408626501e-09,6.63626663881534e-09,8.56219311911307e-09,7.29537419128606e-09,5.70118619586769e-09,7.50486397837923e-09,1.36738153406261e-08,0,1.78191294342639e-08,9.20373926297681e-09
ERRFI1,1.41005981998228e-07,0,1.54538007478165e-07,0,0,0,2.86322100501335e-07,9.0230837618412e-07,2.71182685831258e-07,0,0,0,0
SLC45A1,0,0,0,0,0,0,0,0,0,0,0,0,0
RERE,3.45423096471686e-07,2.09433208500916e-07,1.34993322205723e-07,2.03178323214462e-07,2.86419065415234e-07,0,2.51727034953363e-07,2.04708877712346e-07,1.38706140576946e-07,1.1153946615557e-07,0,1.05439661522032e-06,0
ENO1,2.57670677483033e-07,2.66659991988439e-07,2.46215784438993e-07,2.97802758198151e-07,2.48727903933945e-07,2.30090880097292e-07,2.6571052836393e-07,2.29494792460078e-07,3.8725993984913e-07,6.67867232757346e-07,5.02581399807032e-07,3.40632460609561e-07,3.19779553954523e-07
ENO1-AS1,8.67504996319977e-11,0,0,0,0,0,0,0,0,0,0,6.88148007143734e-10,0
CA6,7.88871555754518e-09,0,0,0,6.05573867772362e-08,0,0,2.20401146285412e-07,4.49641558939833e-08,0,0,0,0
SLC2A5,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR157,1.89655612587585e-08,0,0,1.45129618960857e-07,0,0,0,0,4.07641331478042e-06,0,0,7.1837259446035e-07,0
H6PD,1.07008329063908e-08,0,1.75228089705198e-08,1.55067859344789e-08,5.7389140621955e-08,0,0,0,4.57241490407718e-08,2.95788631541842e-08,0,7.78926334504936e-08,0
SPSB1,1.4425090874027e-05,5.89692137462908e-06,1.17291696556812e-05,3.56187792710695e-06,1.26837354185386e-05,0,8.56934555819419e-06,9.45144913373965e-06,1.79451414804149e-05,0,0,7.77010244425798e-06,0
SLC25A33,8.07397845490716e-08,3.26729579765721e-08,9.39686162559927e-08,9.98312738940187e-08,1.41104436916933e-07,8.71957656658788e-08,7.67641169074302e-08,5.60835765774609e-08,3.31586626214313e-07,2.86863011681569e-07,0,2.13118846896447e-07,0
TMEM201,8.76265721250114e-11,0,7.57023151021875e-10,0,1.21972594724882e-09,0,0,0,0,2.59020908835769e-09,0,1.48244848106477e-09,0
PIK3CD,8.14578575397758e-07,1.52219353606902e-06,1.05229717345981e-06,1.74177446903868e-06,1.84901520314717e-06,0,7.93238346019312e-06,1.4746500279775e-06,3.33623963661737e-07,0,0,2.34424139443977e-06,0
C1orf200,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-558F24.4,0,0,0,0,0,0,0,0,0,0,0,0,0
CLSTN1,1.64236165943858e-07,2.27562533390589e-07,1.78722142440901e-07,2.073011292575e-07,8.04845722687477e-08,4.46754131818214e-07,2.40472247325111e-07,3.71695860314941e-07,1.39512872761357e-07,0,0,0,0
CTNNBIP1,4.36409620452069e-08,0,3.01457406450192e-08,4.38728484467249e-08,1.75914703125214e-08,4.7571812983993e-08,1.05854768715954e-07,0,2.05842432401058e-07,0,0,7.97010122959703e-08,0
LZIC,5.02492953242303e-10,8.30823815630649e-10,7.84236753731999e-10,8.86584363928032e-10,3.67114329941279e-10,1.25221688395982e-09,7.30220882038749e-10,6.67594586614936e-10,6.18483945310224e-10,7.05364208201611e-10,0,9.85634979563865e-10,0
NMNAT1,1.01304881918355e-10,1.54880329234427e-10,4.91303464862501e-11,4.72526531268235e-11,8.38361100469657e-11,0,7.22424251734978e-11,0,1.59579443682943e-10,0,0,1.77530563910063e-10,0
RBP7,9.29324503929566e-07,0,5.3189669971838e-07,0,0,0,0,0,0,0,0,0,0
UBE4B,4.60644834552775e-10,4.50354651926736e-10,3.77383877789782e-10,7.40832305228594e-10,5.40361809370404e-10,0,1.06935343766401e-09,1.13585061477574e-09,1.38032396513872e-09,0,0,3.60258743969546e-10,0
KIF1B,1.24668752222643e-07,0,2.17295212736211e-08,2.72639375437225e-08,0,0,8.35965440509027e-08,0,6.80596873269807e-08,0,0,1.80013417188554e-07,0
PGD,3.01275658657668e-09,5.16443942976617e-10,4.54486031175777e-10,2.47733390962668e-10,8.25494304473954e-10,9.33460590428858e-10,3.30226648880461e-10,1.46420308415244e-10,2.27221828747528e-09,9.35672770211679e-10,0,2.06600599059484e-09,0
APITD1,0,0,0,0,0,0,0,0,0,0,0,0,0
DFFA,7.69059602083183e-11,1.6987108720809e-10,1.67915081262115e-10,7.07719628304273e-11,5.33702325102198e-11,2.72830210134143e-10,7.27969646780196e-11,9.64939842212352e-11,1.11335657936719e-10,5.0041713625176e-10,0,3.52189551426778e-10,0
PEX14,4.15061048608475e-09,1.91398675453571e-08,0,3.40110267227617e-09,1.50133252212163e-08,2.71263095246289e-08,2.06722030911371e-08,2.68670813441791e-08,3.86631844573514e-09,5.94460916095017e-09,0,3.0872174039017e-08,0
CASZ1,0.000784086634569747,0,0,0,0,0,0,0,0.00124589820848728,0.00266197823335077,0,0.00342848945816799,0
TARDBP,2.07945111235205e-09,4.31433494106754e-09,3.99827236844756e-09,1.66266604088956e-09,4.31401100731432e-09,2.03625430774001e-09,3.49191657819992e-09,1.1859377616873e-08,4.13370393836187e-09,6.32622498594048e-09,0,4.41539143699377e-09,0
RP4-635E18.8,0,0,0,0,0,0,0,0,0,0,0,0,0
SRM,1.69125721016627e-09,2.25529904900442e-08,1.3362978036514e-08,2.93061870417705e-09,2.10267928509506e-08,5.14624276894823e-08,3.7940939695273e-08,9.06992970873617e-09,8.19254564755794e-09,1.4476598580988e-07,1.97865030092096e-07,2.4333673568527e-08,0
EXOSC10,7.18456716495884e-10,2.70660254156639e-09,6.025683003484e-10,3.26155550503049e-10,8.04457588112282e-10,2.17282035632533e-09,1.87516940607194e-09,2.39177406872975e-09,2.06233905665062e-09,1.78034226749362e-09,0,1.73064331321556e-09,0
MTOR,3.67717618665958e-10,0,4.89135660184132e-10,0,0,0,0,0,7.74306404791175e-10,0,0,1.05441276935673e-09,0
UBIAD1,5.42364177584975e-10,2.01451519489742e-09,2.01367776990157e-09,5.46372434895887e-10,1.29710644976664e-09,1.96179439735241e-09,6.0125629136902e-10,2.08962382279499e-09,1.00403230782276e-09,2.90099429610918e-09,0,2.52606780129174e-09,0
FBXO2,7.57154529574802e-08,0,0,0,0,0,9.01880941770135e-07,0,0,0,0,0,0
FBXO44,1.43374781920463e-08,1.13142207699368e-06,0,3.84514451578923e-07,0,0,1.41551152176888e-07,6.40777179177195e-07,0,4.26394069257608e-07,0,7.96362837063223e-07,0
FBXO6,2.40642997571042e-06,0,3.70707460128136e-07,3.61810097868749e-06,2.23785992558029e-06,4.79579293639383e-07,9.39209689612509e-07,5.49101012565852e-07,2.41276014739515e-06,1.69228695278875e-06,0,3.37486172595601e-06,0
MAD2L2,1.09056381992865e-05,1.92103546417772e-06,5.96215546359134e-06,1.38480835780433e-05,8.72846208538957e-06,2.1408541198683e-05,5.99181067292662e-06,1.15900563186112e-05,1.70198401769455e-05,1.57856348414867e-06,0,2.84630890505214e-05,0
DRAXIN,0,0,0,0,0,0,0,0,0,0,0,0,0
AGTRAP,1.44434551202709e-08,0,2.06999362032552e-09,1.61640073802733e-08,1.10153017818226e-09,3.25500830860201e-09,2.22490432646241e-09,0,2.44582304467569e-09,6.95934483481528e-10,0,3.75303557089278e-09,0
MTHFR,2.41958469086851e-09,2.46413590979152e-09,7.87950958730336e-10,8.02117593663182e-09,1.27048087139877e-09,7.08107070643244e-09,0,0,2.21408659707863e-09,1.37597886712127e-09,0,9.6514068642572e-09,0
CLCN6,4.10676281240244e-10,0,0,0,0,0,3.9483091025317e-10,0,6.14211559294186e-10,0,0,4.10786521799448e-10,0
NPPA-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA2013,0,0,0,0,0,0,0,0,0,0,0,0,0
PLOD1,1.21942796161776e-09,0,0,2.62473433017466e-09,0,0,0,0,1.80112672693577e-09,0,0,0,0
MFN2,6.32986293624193e-10,0,1.9741199512233e-10,5.03740468923146e-10,7.14334878691838e-10,0,0,0,1.13411445075702e-10,4.61232235936407e-10,0,4.90350442884537e-10,0
MIIP,4.74398796513478e-10,9.0855623377445e-11,8.4535813131884e-11,4.17564797117199e-10,3.12256167775537e-10,3.4160438464709e-10,2.82969961446522e-10,8.76090204173325e-11,2.73489616093403e-10,2.81588190901771e-10,0,1.02093990749213e-09,0
TNFRSF8,3.10555371853005e-06,0,0,1.11985469722558e-05,0,0,0,0,0,0,0,0,0
TNFRSF1B,3.33033347907608e-05,6.39125079926932e-06,1.19598048715584e-05,4.24376935125858e-05,8.76878231565873e-06,2.42881967176105e-05,1.05204208311668e-05,9.16924892943321e-06,2.18859794874556e-05,1.79879840309857e-05,0,4.60999827361355e-05,0
VPS13D,6.94078521118687e-09,0,7.86557604773634e-09,2.02095069141869e-08,1.14610063624154e-08,0,0,1.60050690638217e-08,1.08951983600975e-08,0,0,6.05452789155633e-08,0
DHRS3,4.73301372266779e-08,1.89450325862235e-06,5.96753292236121e-07,2.92948310172054e-07,0,0,4.23342797714211e-07,3.44245943353131e-06,7.41280577179942e-07,1.05301165444592e-06,0,0,0
PDPN,1.02138735661442e-05,0,0,0,0,0,0,0,0,0,0,0,0
PRDM2,8.30068838307642e-07,7.84032819985362e-07,5.46352049329526e-07,8.26762869434438e-07,2.95116941498501e-06,0,9.22559944321741e-07,2.73600706732739e-06,6.10489894007663e-07,2.08556821736182e-06,0,8.24677622265692e-07,0
TMEM51,5.92976605073138e-06,0,0,1.12370286568424e-05,0,0,0,0,9.56182436861316e-06,0,0,9.25024112427815e-07,0
FHAD1,5.84620005518719e-07,0,0,0,0,0,0,0,0,0,0,0,0
RP3-467K16.4,0,0,0,0,0,0,0,0,0,0,0,0,0
EFHD2,5.87844997907701e-06,1.05119391632209e-06,9.00727299802083e-07,4.19048783358227e-06,4.82867048611441e-07,4.25078210050674e-06,7.67300069577488e-06,4.13704020634479e-07,6.89927288153745e-06,1.86335791169666e-06,0,4.93659461629595e-06,0
CASP9,1.19644849272718e-10,0,0,1.52632358269857e-10,0,1.10194408702348e-09,9.44395188086789e-10,2.33320464566549e-10,0,0,0,0,0
DNAJC16,6.96733373157123e-11,0,0,0,1.64459019826665e-10,0,1.45323480869829e-10,0,0,0,0,1.81133578100203e-10,0
AGMAT,1.02144059703369e-08,0,0,0,0,0,8.27525205590855e-08,0,0,0,0,0,0
DDI2,2.4711448068587e-10,0,4.30673237205192e-10,1.76897800708861e-10,6.36393293328797e-10,0,3.02229960862812e-10,0,1.52211696251238e-10,8.75944098843327e-10,0,4.56635400476356e-10,0
PLEKHM2,2.33442582861839e-10,0,0,1.20424903928295e-10,9.09308086896475e-11,0,0,6.86520434294696e-11,8.03571764473659e-11,0,0,1.12910096128505e-10,0
SLC25A34,0,0,0,0,0,0,0,0,0,0,0,0,0
FBLIM1,0,0,3.70425274206457e-07,0,6.71609340893382e-07,0,6.44504026149946e-07,0,0,0,0,0,0
RP11-169K16.9,0,0,0,0,0,0,0,0,0,0,0,0,0
SPEN,1.23060159691863e-08,6.75000888582642e-09,6.61294089878277e-09,2.17598884672722e-08,1.09846480612233e-08,0,2.10338686556283e-08,0,2.18649438328812e-08,3.0392452373178e-08,0,2.9270106801918e-08,0
ZBTB17,1.48283359704364e-08,0,2.1331554002445e-08,2.96782948589202e-08,2.16843367327001e-08,0,1.82823148882166e-08,2.80740573913687e-08,2.57693773091293e-08,0,0,2.12432710707944e-08,0
ARHGEF19,2.69592993380349e-08,0,7.5636757549606e-08,9.35294830869526e-08,8.78310429020022e-08,0,0,0,3.45782139265532e-08,1.55369539636367e-07,0,2.82069856896219e-07,0
RSG1,1.19602457458374e-09,0,0,0,0,5.07950170614172e-08,0,2.08312330259748e-08,0,0,0,0,0
FBXO42,4.21392271657767e-10,8.57337609167095e-10,1.42511782579159e-09,6.99671201774863e-10,0,2.06297394344037e-09,1.28141502032895e-09,1.41338339163724e-09,1.26515111533222e-09,1.03457711840134e-09,0,1.93175925172516e-09,0
SZRD1,6.48702891400841e-08,1.47898260418772e-08,3.29504355858775e-08,6.09452670723843e-08,4.20127855055685e-08,5.84967053661525e-08,4.09480340335334e-08,2.04634205123149e-08,6.37702120052319e-08,5.31682768083327e-08,0,5.97824336714341e-08,0
NECAP2,1.7941003787713e-07,1.52060652472856e-07,9.25210459366892e-08,1.7558393246778e-07,9.94635876611534e-08,7.39870886049215e-08,6.4792618851088e-08,3.21866130930763e-07,1.70353354542513e-07,8.39753574133792e-08,0,1.65657292014659e-07,5.10572397070246e-07
RP4-798A10.2,0,0,0,0,0,0,0,0,0,0,0,0,0
NBPF1,2.07493321827159e-07,0,1.40960733461383e-07,3.44370880409805e-07,0,1.00416281352892e-06,1.96991686123954e-07,0,0,2.67415573277347e-07,0,0,0
CROCCP2,3.96207051972000e-09,2.73344285427446e-08,4.3266402572113e-09,5.34156602334259e-09,3.5551310910607e-09,0,1.53778433267325e-08,1.23045776730278e-08,4.28032080935197e-09,3.31863495743254e-09,0,3.94095062802294e-09,0
CROCC,0,0,0,0,0,0,7.42137596010829e-08,0,0,8.48254078697696e-08,0,0,0
RP11-108M9.4,0,0,0,0,0,0,0,0,0,0,0,0,0
