,Peak0,Peak1,Peak2,Peak3,Peak4,Peak5,Peak6,Peak7,Peak8,Peak9,Peak10,Peak11,Peak12,Peak13
ATAD3B,2.71842685004361e-16,2.71043287901596e-16,4.69437051766744e-16,0,1.90021640257341e-15,2.73654276711392e-16,1.32671436997873e-15,6.59859446555096e-16,0,0,6.92394566219522e-15,2.44655694724079e-15,0,0
ATAD3A,0,0,0,1.93333870119391e-15,0,0,6.70788879932023e-16,1.26437836830112e-15,7.19860891430977e-16,0,7.32729500154908e-15,4.66886011902447e-16,0,7.01975508456573e-16
SSU72,3.69683980622606e-06,3.71466335946866e-06,9.6083621113082e-06,4.92580272764071e-06,3.36425064458702e-06,4.81191449808668e-06,3.16779424467206e-06,3.21782543006608e-06,6.30872893490295e-06,4.49093355602077e-06,7.41895390210315e-06,5.95686366078245e-06,4.11555534154823e-06,4.87570692418075e-06
AL645728.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-345P4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIB2,1.24463276391012e-07,1.40009449446358e-06,4.49909557385428e-07,1.07313990564791e-06,2.99113865875614e-06,8.67962354269338e-07,4.03710341691552e-07,9.88099743703501e-07,1.81266221072313e-06,3.08961669869206e-06,6.99166322581828e-07,1.52309653582289e-06,6.86150832922539e-07,2.07181525774007e-07
MMP23B,0,0,0,0,1.059073480524e-06,0,0,0,0,0,0,0,0,0
CDK11B,9.71204288170779e-16,3.17681511943432e-16,4.46388223642188e-16,0,0,9.57377098989275e-16,6.08732142248288e-16,1.62428652015854e-15,2.18793613138168e-15,0,1.60893163590938e-15,1.19079854860811e-15,8.3528304184586e-16,1.26494426565982e-15
SLC35E2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDK11A,2.48060038551822e-15,2.41848570182816e-15,2.97049685675499e-15,6.6581338037157e-16,5.92113954970649e-15,2.19294706086333e-15,5.17378954419376e-16,2.13292642853956e-15,3.00884573475128e-15,4.32982977121778e-15,5.3814138871437e-15,2.91922665047225e-15,1.21528734621477e-15,1.83353193175232e-15
SLC35E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NADK,4.01068331164648e-06,3.35278091271844e-07,1.2545868401756e-06,7.02797845669874e-07,9.44787023596469e-07,1.89943969336669e-06,4.65211082182216e-07,2.09732916797894e-07,2.41254428710481e-07,6.80437619312119e-07,6.01002587019858e-07,2.05270220737382e-06,0,1.27956727380098e-06
GNB1,8.60115841346216e-08,1.05286022832092e-08,8.81675196009933e-08,4.52224435595276e-09,5.77296354649218e-09,3.30443028281e-08,1.7493846472723e-08,4.47487518850877e-08,6.8433826213568e-09,2.37676146941798e-08,1.13775020269474e-08,7.97774100319333e-08,1.06817593453682e-08,9.30112476527321e-08
PRKCZ,1.29788181094609e-05,0.000382042082837697,0.000208507499312051,0.000851032758089515,0.000393657402080299,0,0.000273537856762137,0,0,0,0.000285949903182422,0,0,0.000137066353489959
RP5-892K4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1orf86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL590822.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKI,1.12233042055201e-07,3.78913858244172e-08,2.74137295146534e-07,0,3.08443862652295e-07,8.99924851044429e-08,0,3.39341507187512e-07,0,8.85404574920251e-07,6.59695648914895e-08,0,0,3.03380157102744e-08
MORN1,1.49487124646385e-06,0,0,0,2.13056851981859e-05,1.07133377957876e-05,0,2.16899366324386e-05,0,0,0,0,0,0
RER1,2.62334138580921e-08,1.81804540394079e-08,3.18102041153457e-08,1.05999412344234e-08,2.42463231838808e-08,2.52701963230057e-08,1.68920686462783e-08,6.60808884155934e-09,1.55490450436621e-08,9.35813500934281e-09,2.08116042545246e-08,4.57456296873199e-08,2.54702275094849e-08,2.97583140679259e-08
PEX10,1.41561853364287e-05,2.8657325430863e-05,0,0,0,4.00981768803566e-05,0,0,0,0,0.000110803831111275,8.67446775386573e-05,0,1.99388309901436e-05
PANK4,4.54925411187368e-05,8.93104433901512e-05,0,8.38914364370231e-05,7.30341029167269e-05,0.000103336150727976,5.13447463687275e-05,5.26703401575726e-05,5.98791591753855e-05,0.000328996534261047,0.000159983869683437,4.69085873594066e-05,0,3.02894441441167e-05
RP3-395M20.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF14,1.92931580765822e-06,1.4296248801638e-06,1.01338061292934e-06,1.39410363782413e-06,2.47608650872611e-06,3.41629953548322e-06,1.37056504473472e-06,7.67330649394173e-07,7.69376062558944e-07,2.54236898974629e-06,6.37509149751492e-07,1.14578081846516e-06,7.86551090376551e-07,4.58594797885488e-07
RP3-395M20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM213B,1.47942253017798e-09,1.10707022815748e-08,1.523855863335e-08,1.73730841713659e-08,0,1.39183571468142e-08,2.46132609413857e-08,0,0,0,6.37323333030447e-08,0,8.37606773065872e-08,2.48034634562974e-08
MMEL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTC34,0,0,0,0,0,0,0,0,1.89413311892169e-06,0,0,0,0,0
MEGF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TPRG1L,3.10984968047066e-08,1.02750062874696e-07,5.43937234504614e-08,3.81715459375147e-08,0,1.65547907764341e-08,3.65773929859976e-08,0,4.23888332170251e-08,0,0,3.51393512196938e-08,0,0
WRAP73,2.18926444042662e-09,7.69658932478434e-09,9.38339327071605e-09,1.0787296040156e-08,0,6.5374653214234e-09,1.9081555050983e-08,6.93489530761868e-09,2.49280723586499e-09,0,1.28981007313962e-08,5.25011518967214e-09,1.40201447139384e-08,4.28657691575361e-09
TP73-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMIM1,1.42887495349714e-08,1.19091329960454e-07,0,0,0,1.47142921341589e-07,0,0,0,0,2.14237457892603e-07,0,0,1.17923525579254e-07
LRRC47,6.11793811811056e-09,1.8594645575236e-08,1.71477141539358e-08,5.02459439717828e-08,1.70653690685498e-08,7.8696134885399e-09,1.75672245456919e-08,3.61264817691097e-08,2.07569756723286e-08,0,9.51745019867109e-09,1.54015037670225e-08,9.30323717105088e-09,1.00308651513191e-08
CEP104,7.31360512352076e-08,1.5197187378555e-07,2.17225062148107e-07,2.34508551932672e-07,3.9810743520523e-07,1.20141869466986e-07,4.72381398729066e-08,0,2.13108769420549e-07,0,9.53987042725319e-08,1.99306347013373e-07,1.00573636526559e-07,3.28500422599223e-08
DFFB,0,4.95491191528344e-08,0,5.18395121742251e-08,0,0,1.66274769208865e-07,0,0,0,5.16807007667328e-08,0,0,0
C1orf174,7.22801201394805e-10,9.75279903572851e-10,1.52408594377025e-09,8.13060638977046e-10,2.20337564263546e-09,7.61734862270815e-10,2.56738994532598e-10,3.67757467043498e-09,1.80450109275847e-09,1.95909612218827e-09,2.07933806591689e-09,9.66250076051561e-10,1.52568025884178e-09,1.24157385041947e-09
LINC01134,0,0,0,0,0,5.43658845894984e-07,0,0,0,0,0,0,0,0
NPHP4,0,0,3.26448304982203e-07,2.40893153188571e-07,0,0,0,0,0,0,2.46745728130663e-07,0,0,0
KCNAB2,1.76654570829627e-05,1.27916987820455e-05,1.47034417684913e-05,1.9628865192192e-05,1.03414722313237e-05,1.14361045538598e-05,0,0,1.74185030170128e-05,2.86277402311219e-05,7.4058762468107e-06,5.35433367286306e-06,0,0
RPL22,5.05307028609044e-07,1.22295700482424e-06,1.2757468116603e-06,6.2165064243055e-07,3.05254512845919e-07,4.10867611001211e-07,1.17161122759992e-06,6.00199498798795e-07,1.70862137321562e-06,1.47523481853283e-06,9.21497491364842e-07,5.83180052268405e-07,1.10093185809676e-06,1.06650307814202e-06
RNF207,0,1.01445084210673e-06,0,0,0,0,0,0,0,0,0,0,0,1.25692768671915e-06
ICMT,1.42082341402365e-06,7.90367754852404e-06,4.48522948618055e-06,1.29542869014316e-05,1.04179679147681e-05,8.00532343116122e-06,7.08104093889617e-06,0,1.60005862246225e-05,2.87763634510268e-05,1.85740380710382e-05,2.67569370790006e-05,0,2.50991424045616e-06
GPR153,0,0,0,0,0,0,0,0,0,0,0,1.08692774978868e-05,0,0
ACOT7,1.46182584700071e-08,1.2083490684871e-07,9.03297381848333e-08,4.14589273188714e-07,0,6.94315859763233e-08,1.41236504843069e-07,0,0,0,0,9.67341648625662e-07,0,3.24600028180111e-07
RP1-202O8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,0,0.000179001565889082,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF25,8.01560830237712e-07,2.20762092540564e-05,2.36407375246629e-06,7.03326520109548e-06,1.69642530548207e-05,1.96532858978073e-06,0,2.52412821525069e-05,1.95622893977992e-05,8.78153177765454e-06,4.13358749537165e-06,1.43646916491467e-06,0,3.30500291988474e-06
NOL9,5.56301607577037e-10,0,0,3.82671836032533e-09,0,0,1.54445459506189e-09,2.59718517666183e-09,1.5156970431505e-09,0,2.37237589672874e-09,1.27168019859983e-09,4.24801923732685e-09,1.28070686536732e-09
ZBTB48,5.19471991637374e-10,3.72386418079191e-10,0,1.05015464386751e-09,1.02450296307877e-09,8.829200685358e-10,3.71719782743828e-10,7.25365682632911e-10,0,0,0,6.71280790582119e-10,6.13818407077271e-10,2.2458828900097e-10
KLHL21,1.29242136528193e-08,1.56441455581959e-07,4.56759514247844e-08,0,0,3.32099136181799e-08,0,8.70647922150084e-08,7.54665182173235e-08,0,1.11861714302624e-07,5.20334242221245e-08,1.52674171738592e-07,3.67779561050505e-08
PHF13,1.2914938056352e-08,2.90224337710977e-08,2.48910500822536e-08,0,0,0,2.78722669047475e-08,0,0,0,3.50406014484237e-08,0,1.25207075110779e-07,1.78794114521814e-08
THAP3,4.86118179067452e-10,1.70345105093519e-09,0,1.20701978164626e-09,2.88834656541513e-09,5.2011104887188e-10,1.61270810025568e-09,2.11309080547598e-09,2.62035111276281e-09,1.13943609242376e-09,7.34668154770969e-10,3.19525160266603e-10,1.09263746735897e-09,1.68523725781899e-09
DNAJC11,2.33435137772963e-10,3.01695784732434e-09,1.75785786478157e-09,2.33146772924725e-09,3.45006697629434e-09,0,0,0,2.26040185458469e-09,0,5.68976163095943e-09,0,0,2.14909322202178e-09
CAMTA1,0.00570400935166771,0.00204059143999246,0.00494162038095979,0.00174851967816929,0.00255092586989342,0.00386898917503225,0.00145528753077912,0.00458970487783182,0.000673944525615108,0,0.00457972082831146,0.00443928450177712,0.00391810217477129,0.00691306889627245
VAMP3,6.19555741009506e-08,1.59474205540841e-08,5.31455786770901e-08,1.49777649444456e-08,2.21188938332502e-08,7.70984097746255e-08,1.98045564417485e-08,1.43046456211226e-08,0,0,2.05971873477819e-08,3.4947904264036e-08,1.23004066605478e-08,3.53494346281384e-08
PER3,4.95774316430309e-09,0,0,0,0,0,0,0,0,1.64150432420235e-07,0,0,0,0
TNFRSF9,1.97387427111464e-06,3.62948603824129e-06,5.97832905725831e-06,6.79009458213848e-06,1.04670138792078e-05,0,0,0,0,0,1.5741149056415e-05,0,0,7.36988636128691e-06
PARK7,3.43125900733561e-09,5.14877580502793e-09,8.06632775308875e-09,6.60765179944794e-09,8.2306766441859e-09,5.05892295006529e-09,7.46986787920975e-09,5.70118619586769e-09,5.53023966745562e-09,9.19642964645478e-09,1.36738153406261e-08,1.78191294342639e-08,5.33467873714687e-09,7.07836745720566e-09
ERRFI1,1.40759898260011e-07,1.55982287921887e-07,6.28182677305319e-07,0,6.75720157183152e-07,0,0,9.0230837618412e-07,0,0,0,0,0,0
SLC45A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RERE,3.44820263842591e-07,1.36254942039421e-07,1.01016495849692e-07,0,5.94075802489936e-07,2.04694579357854e-07,2.85366466807564e-07,2.04708877712346e-07,1.96662890909397e-07,0,1.1153946615557e-07,1.05439661522032e-06,2.88062596574577e-07,1.67335774552456e-07
ENO1,2.57935367042804e-07,2.47146469340918e-07,4.61500117265865e-07,3.02303337631945e-07,2.1594430775943e-07,2.96302062091357e-07,2.93144697550929e-07,2.29494792460078e-07,2.7231043329929e-07,2.10068362039355e-07,6.67867232757346e-07,3.40632460609561e-07,1.79375366531988e-07,3.30865958926802e-07
ENO1-AS1,8.65991025994811e-11,0,0,0,0,0,0,0,0,0,0,6.88148007143734e-10,0,0
CA6,7.8749481656472e-09,0,0,0,0,0,9.93413311177133e-08,2.20401146285412e-07,0,0,0,0,0,7.91196204672976e-08
SLC2A5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR157,1.89324625480102e-08,0,0,0,0,1.46212675818774e-07,0,0,0,0,0,7.1837259446035e-07,0,7.17291958273862e-06
H6PD,1.06821578053325e-08,1.76865735403377e-08,0,0,0,1.5622508217572e-08,0,0,0,0,2.95788631541842e-08,7.78926334504936e-08,1.46996746154481e-07,8.04569161005889e-08
SPSB1,1.43999161953638e-05,1.18387880636783e-05,3.1746258207076e-06,9.75544558409788e-06,6.95624952296517e-06,3.58845910566745e-06,0,9.45144913373965e-06,5.5373529981273e-06,0,0,7.77010244425798e-06,3.24881644053796e-05,2.91650524142311e-05
SLC25A33,8.21894420765058e-08,9.54784463662209e-08,3.41992018311268e-07,4.71734528768268e-08,1.17007419989051e-07,8.69733946280213e-08,2.07416735562875e-07,5.60835765774609e-08,5.98698604564597e-08,0,2.86863011681569e-07,2.13118846896447e-07,3.75641811364278e-08,3.23682530294511e-07
TMEM201,8.74736461701685e-11,7.64098133741706e-10,0,0,0,0,2.00089874492503e-09,0,0,0,2.59020908835769e-09,1.48244848106477e-09,0,0
PIK3CD,8.13156972299332e-07,1.0621317264828e-06,7.72825131013898e-07,9.73545988812445e-06,5.48019951820651e-06,1.7547727859718e-06,7.82398621630542e-07,1.4746500279775e-06,1.42937685704042e-06,0,0,2.34424139443977e-06,3.51443407604156e-06,0
C1orf200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-558F24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLSTN1,1.63949540872403e-07,1.80392442837545e-07,2.62696673438524e-07,4.17290076240633e-07,0,2.08848152610168e-07,1.32030871362215e-07,3.71695860314941e-07,2.13686769159456e-07,4.79847030471415e-07,0,0,0,4.59405626315853e-08
CTNNBIP1,4.35647998077807e-08,3.04274765388979e-08,1.8238864118178e-07,1.16186850047202e-07,9.18031381054556e-08,4.42002577634915e-08,1.42771859515923e-08,0,0,5.10956509828073e-08,0,7.97010122959703e-08,2.27664055427439e-08,2.23658293038779e-07
LZIC,5.01616002189524e-10,7.43006134480479e-10,5.74023148819663e-10,4.14889373390301e-10,1.15907173380064e-09,8.93200665151376e-10,2.15583641369818e-10,6.67594586614936e-10,9.06893412571334e-10,1.34497369017907e-09,7.05364208201611e-10,9.85634979563865e-10,6.03714878763385e-10,6.52257050336709e-10
NMNAT1,1.01128084567712e-10,4.9589508602944e-11,1.33449690945285e-10,0,1.70492123409455e-10,4.7605284866576e-11,0,0,1.45436406720132e-10,0,0,1.77530563910063e-10,2.14738106436088e-10,1.79428005858664e-10
RBP7,9.27702646156565e-07,5.3686769691201e-07,0,0,0,0,0,0,0,0,0,0,0,0
UBE4B,4.59840916865947e-10,3.80910829918658e-10,1.0895484800916e-09,1.46460581697548e-09,5.31810201800416e-10,7.46360904521345e-10,0,1.13585061477574e-09,4.22894002419008e-10,0,0,3.60258743969546e-10,1.3840846345277e-09,1.60120149704951e-09
KIF1B,1.24451180229235e-07,2.19326009116924e-08,3.85596381168539e-08,3.63113110608728e-08,1.47904460917343e-07,2.74673997641981e-08,0,0,0,0,0,1.80013417188554e-07,0,9.04683785539039e-08
PGD,3.00749872167864e-09,4.5873356417742e-10,2.24439522135287e-09,2.73559249429694e-10,4.07294312133505e-10,2.49582147611643e-10,1.1885047547327e-09,1.46420308415244e-10,4.84953458648774e-10,1.00260581934951e-09,9.35672770211679e-10,2.06600599059484e-09,2.58688513719069e-10,2.29335311654904e-09
APITD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFFA,7.67717438728762e-11,1.69484381086995e-10,1.99848236013818e-10,8.15060610341215e-11,6.0952593633721e-11,7.13001118067738e-11,4.38174856495754e-11,9.64939842212352e-11,1.59513094085646e-10,2.93039855329265e-10,5.0041713625176e-10,3.52189551426778e-10,6.828592497684e-11,4.41001418973846e-11
PEX14,4.14336683776697e-09,3.67599521595438e-09,0,3.58723524228556e-08,0,3.42648403550211e-09,2.46286009246919e-08,2.68670813441791e-08,1.7972802451128e-08,0,5.94460916095017e-09,3.0872174039017e-08,0,6.80323341893779e-09
CASZ1,0.000782718246027741,0,0,0,0,0,0,0,0,0,0.00266197823335077,0.00342848945816799,0,0.00219230165531897
TARDBP,2.07582205281915e-09,4.03563939992837e-09,7.10984722174e-09,4.2497535357215e-09,2.46125831597057e-09,1.67507399641859e-09,4.46439506127097e-09,1.1859377616873e-08,4.05126573734391e-09,2.1870879601652e-09,6.32622498594048e-09,4.41539143699377e-09,4.07920081780307e-09,1.8729797134881e-09
RP4-635E18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRM,1.68830562690246e-09,1.53351207056808e-08,1.22418094214569e-08,3.5961460296236e-08,4.06330316779632e-08,2.95248899301419e-09,2.35354237957529e-08,9.06992970873617e-09,2.11778081430903e-08,4.7961587331793e-08,1.4476598580988e-07,2.4333673568527e-08,1.71098076915223e-08,5.11666258853855e-09
EXOSC10,7.17202865332715e-10,6.08199779790909e-10,2.86844392204676e-09,2.15746906326968e-09,1.491241872283e-09,3.28589547148594e-10,6.22358113192324e-10,2.39177406872975e-09,2.54156580122698e-09,2.33377001234943e-09,1.78034226749362e-09,1.73064331321556e-09,1.08878834719783e-09,1.45000939928239e-09
MTOR,3.67075877621166e-10,4.93707021494264e-10,1.79364648198462e-09,0,0,0,0,0,0,0,0,1.05441276935673e-09,0,0
UBIAD1,5.4141764324364e-10,2.03249718831186e-09,2.07213193715662e-09,1.04335650561095e-09,0,5.50449841126453e-10,1.55900250930416e-09,2.08962382279499e-09,1.89167890252563e-09,2.10711250086e-09,2.90099429610918e-09,2.52606780129174e-09,8.8818102347122e-10,1.9268739707877e-10
FBXO2,7.55833142961234e-08,0,0,0,2.12843902257752e-06,0,0,0,0,0,0,0,0,0
FBXO44,1.43124564150968e-08,0,0,0,3.34060719137456e-07,3.87383962411602e-07,0,6.40777179177195e-07,1.06243292595748e-06,0,4.26394069257608e-07,7.96362837063223e-07,0,0
FBXO6,2.40223027243693e-06,3.74172015830268e-07,1.47283288076994e-06,9.11459135838531e-07,9.7695044274512e-07,3.64510173225978e-06,2.05910174161234e-06,5.49101012565852e-07,0,5.15103685760819e-07,1.69228695278875e-06,3.37486172595601e-06,2.51697358124953e-06,3.12674335954315e-06
MAD2L2,1.09828348335635e-05,6.01787654269032e-06,1.95557260522765e-05,7.00115034526768e-06,4.61910871854277e-06,1.31284527145957e-05,7.22472058463101e-06,1.15900563186112e-05,1.8038991553864e-06,2.29943590652522e-05,1.57856348414867e-06,2.84630890505214e-05,1.107640934096e-05,1.50935422524153e-05
DRAXIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGTRAP,1.44182483923123e-08,2.08933935509491e-09,3.22409575296282e-09,0,5.25077421045129e-09,1.62846343010216e-08,1.8070045619619e-09,0,0,3.49612003516512e-09,6.95934483481528e-10,3.75303557089278e-09,0,1.85463512203451e-09
MTHFR,2.41536202997694e-09,7.95314986382021e-10,3.75433889789301e-09,0,0,8.08103545854698e-09,2.08415963173281e-09,0,2.31388372017008e-09,7.60559446246447e-09,1.37597886712127e-09,9.6514068642572e-09,0,1.04408725319079e-09
CLCN6,4.09959568707538e-10,0,7.10879285014584e-10,6.8514775602756e-10,0,0,0,0,0,0,0,4.10786521799448e-10,0,5.40781267641192e-10
NPPA-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLOD1,1.21729981508788e-09,0,4.17223026619298e-09,0,0,2.64432189980283e-09,0,0,0,0,0,0,0,0
MFN2,6.31881605502685e-10,1.99256967039361e-10,0,0,0,5.07499726153915e-10,1.1718302504383e-09,0,0,0,4.61232235936407e-10,4.90350442884537e-10,0,1.99560523546668e-10
MIIP,4.73570875402634e-10,8.53258674602194e-11,4.06954543755248e-10,1.87607102969227e-10,4.12663448975644e-10,4.20680952319566e-10,3.98578514416449e-10,8.76090204173325e-11,8.5315646342235e-11,3.66908413139467e-10,2.81588190901771e-10,1.02093990749213e-09,1.77472152844989e-10,1.72107603734887e-10
TNFRSF8,3.10013390401255e-06,0,0,0,0,1.12821182183174e-05,0,0,0,0,0,0,0,0
TNFRSF1B,3.33670245308583e-05,1.21695787811573e-05,2.60091332215921e-05,9.70267983987129e-06,1.16325485793287e-05,4.171263815273e-05,1.43847440234402e-05,9.16924892943321e-06,8.09681924394621e-06,1.89471419051779e-05,1.79879840309857e-05,4.60999827361355e-05,0,1.87539684778712e-05
VPS13D,6.92867214799108e-09,7.93908610425724e-09,0,0,0,2.03603241299644e-08,1.88012014484567e-08,1.60050690638217e-08,0,0,0,6.05452789155633e-08,0,1.91713586528639e-08
DHRS3,4.72475366381496e-08,6.02330425808421e-07,1.71714361549278e-06,0,9.99089002605539e-07,2.95134491591248e-07,0,3.44245943353131e-06,1.77898476724294e-06,0,1.05301165444592e-06,0,0,0
PDPN,1.01960483068665e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
PRDM2,8.28620201591573e-07,5.51458143248493e-07,4.67976267013838e-07,9.43422921979095e-07,8.9418629470774e-07,8.32932741594396e-07,3.85790888826729e-06,2.73600706732739e-06,7.36225940717962e-07,0,2.08556821736182e-06,8.24677622265692e-07,1.53538321986006e-06,7.1874543758951e-07
TMEM51,5.9194174188802e-06,0,1.23605274597537e-05,0,0,1.13208870796546e-05,0,0,0,0,0,9.25024112427815e-07,0,7.43588644361214e-06
FHAD1,5.83599726276976e-07,0,0,0,0,0,0,0,0,0,0,0,0,0
RP3-467K16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFHD2,5.86819090406989e-06,9.09145311949766e-07,1.02035109129462e-05,5.33504255780318e-06,1.08526237634164e-05,4.22176013084781e-06,7.92118978621016e-07,4.13704020634479e-07,9.87096726302449e-07,4.56565484869243e-06,1.86335791169666e-06,4.93659461629595e-06,0,4.38932283844814e-06
